Date ADULT_CONTENT HEALTH DRUGS_ALCOHOL_GAMBLING RACE VIOLENCE_CRIME POLITICS RELATION LOCATION
December-2019 1088, 1240, 2744, 3041, 3199, 3277, 4908, 5907
January-2020 68021, 87924, 175799, 199485, 213241, 221490, 407524, 460811
February-2020 70064, 91916, 190343, 214743, 229473, 240447, 431768, 483748
March-2020 57589, 85993, 179951, 201043, 214962, 225507, 410404, 453469
April-2020 48556, 70962, 161169, 179790, 191874, 201884, 400641, 425694
May-2020 63482, 87042, 202841, 227648, 243083, 252439, 510081, 545707
June-2020 67911, 89472, 209015, 238398, 256150, 266945, 521117, 567711
July-2020 71634, 95031, 223642, 249900, 266721, 277925, 518699, 565155
August-2020 74668, 99585, 243327, 271678, 289013, 299473, 553863, 600776
September-2020 80523, 108954, 254776, 285394, 305930, 318654, 597049, 644747
October-2020 27597, 37911, 85870, 95750, 102497, 107152, 208790, 224683
November-2020 117, 182, 497, 610, 647, 670, 1668, 1773
December-2020 55, 88, 223, 254, 281, 306, 968, 1035
