#Month Total SEN_PER PERCENTAGE HUNDRED 
03-2012 21 9 42 100
04-2012 4040 1479 36 100
05-2012 5455 2078 38 100
06-2012 5960 2353 39 100
07-2012 6810 2746 40 100
08-2012 9166 3551 38 100
09-2012 11576 4586 39 100
10-2012 14463 5695 39 100
11-2012 16480 6493 39 100
12-2012 20558 8338 40 100
01-2013 25236 10201 40 100
02-2013 28957 11474 39 100
03-2013 36981 14795 40 100
04-2013 43157 17226 39 100
05-2013 52740 21547 40 100
06-2013 57273 23984 41 100
07-2013 70977 29882 42 100
08-2013 98781 39421 39 100
09-2013 128686 50332 39 100
10-2013 153569 59957 39 100
11-2013 180100 68670 38 100
12-2013 213250 83707 39 100
01-2014 262127 100779 38 100
02-2014 301890 113410 37 100
03-2014 391127 148351 37 100
04-2014 445361 165763 37 100
05-2014 513232 193109 37 100
06-2014 539049 204871 38 100
07-2014 604948 229365 37 100
08-2014 744431 268612 36 100
09-2014 873194 312668 35 100
10-2014 977152 344067 35 100
11-2014 1063300 361390 33 100
12-2014 1181281 417605 35 100
01-2015 1331085 466779 35 100
02-2015 1446104 492619 34 100
03-2015 1720467 603908 35 100
04-2015 1848302 638761 34 100
05-2015 2037367 720445 35 100
06-2015 1981393 649879 32 100
07-2015 2138090 687567 32 100
08-2015 2463762 758940 30 100
09-2015 2773903 832944 30 100
10-2015 2997131 876484 29 100
11-2015 3083396 868727 28 100
12-2015 3366092 991750 29 100
01-2016 3695871 1068823 28 100
02-2016 3907596 1112046 28 100
03-2016 4363699 1281903 29 100
04-2016 4738276 1380901 29 100
05-2016 4948672 1468495 29 100
06-2016 4865229 1435549 29 100
07-2016 5206238 1489463 28 100
08-2016 5825671 1614821 27 100
09-2016 6487683 1786081 27 100
10-2016 6980023 1924352 27 100
11-2016 7017433 1917921 27 100
12-2016 7697207 2185032 28 100
01-2017 7929550 2206349 27 100
02-2017 8220958 2233885 27 100
03-2017 9298730 2644852 28 100
04-2017 9541434 2617180 27 100
05-2017 9848295 2769113 28 100
06-2017 9753215 2721230 27 100
07-2017 10220803 2808202 27 100
08-2017 11409788 3140231 27 100
09-2017 12232041 3301490 26 100
10-2017 12777782 3403848 26 100
11-2017 12740694 3306988 25 100
12-2017 13873072 3760582 27 100
01-2018 13805117 3617503 26 100
02-2018 13330526 3464425 25 100
03-2018 14895690 3995550 26 100
04-2018 13413031 3339901 24 100

06-2018 0 0 - -
07-2018 912405 108874 11 100
08-2018 3246826 404095 12 100
09-2018 0 0 - -
10-2018 3452424 412041 11 100

12-2018 0 0 - -
01-2019 0 0 - -
02-2019 0 0 - -
03-2019 0 0 - -
04-2019 0 0 - -
05-2019 0 0 - -
06-2019 0 0 - - 
07-2019 0 0 - -
08-2019 0 0 - -
09-2019 0 0 - -
10-2019 0 0 - -
11-2019 0 0 - -
12-2019 80468 10032 12 100
01-2020 3782843 604538 15 100
02-2020 3872398 637243 16 100
03-2020 3637387 603506 16 100
04-2020 3192838 554331 17 100
05-2020 3955739 709468 17 100
06-2020 4168092 742975 17 100
07-2020 4246782 733838 17 100
08-2020 4509853 777978 17 100
09-2020 4746083 823192 17 100
10-2020 2098316 327119 15 100
11-2020 18495 2472 13 100
12-2020 10297 1416 13 100
