Date ADULT_CONTENT HEALTH DRUGS_ALCOHOL_GAMBLING RACE VIOLENCE_CRIME POLITICS RELATION LOCATION Total
December-2019 2123 2424 5307 5892 6204 6356 9518 11470 80468
January-2020 119856 156115 305305 348964 374783 389998 692910 784505 3782843
February-2020 123344 163078 329402 374252 401521 421656 736057 825911 3872398
March-2020 102625 154588 311425 350334 376264 395612 698653 772946 3637387
April-2020 85516 125964 260992 294534 316950 335196 661657 704932 3192838
May-2020 111365 154030 335158 380170 408351 425379 848726 910756 3955739
June-2020 119858 159209 353109 404908 436945 456283 872764 953162 4168092
July-2020 126269 168684 376495 424309 455321 475668 864003 945160 4246782
August-2020 131829 177225 409057 460972 493116 512218 924543 1006390 4509853
September-2020 142073 193616 432557 488643 526406 549600 1002974 1087128 4746083
October-2020 51168 70407 155094 173772 186628 195382 375449 404538 2098316
November-2020 234 364 992 1218 1292 1338 3329 3539 18495
December-2020 110 176 446 508 562 610 1931 2065 10297
