Month Non-Cryptic Total
March-2012 85 100
April-2012 83 100
May-2012 87 100
June-2012 88 100
July-2012 86 100
August-2012 87 100
September-2012 86 100
October-2012 85 100
November-2012 85 100
December-2012 86 100
January-2013 85 100
February-2013 84 100
March-2013 85 100
April-2013 85 100
May-2013 85 100
June-2013 85 100
July-2013 86 100
August-2013 85 100
September-2013 84 100
October-2013 84 100
November-2013 83 100
December-2013 84 100
January-2014 84 100
February-2014 84 100
March-2014 84 100
April-2014 84 100
May-2014 83 100
June-2014 84 100
July-2014 85 100
August-2014 85 100
September-2014 84 100
October-2014 84 100
November-2014 83 100
December-2014 84 100
January-2015 84 100
February-2015 84 100
March-2015 84 100
April-2015 84 100
May-2015 84 100
June-2015 86 100
July-2015 86 100
August-2015 86 100
September-2015 86 100
October-2015 85 100
November-2015 85 100
December-2015 86 100
January-2016 86 100
February-2016 86 100
March-2016 86 100
April-2016 86 100
May-2016 86 100
June-2016 87 100
July-2016 87 100
August-2016 87 100
September-2016 86 100
October-2016 86 100
November-2016 86 100
December-2016 87 100
January-2017 86 100
February-2017 86 100
March-2017 86 100
April-2017 85 100
May-2017 86 100
June-2017 87 100
July-2017 87 100
August-2017 87 100
September-2017 86 100
October-2017 86 100
November-2017 86 100
December-2017 87 100
January-2018 86 100
February-2018 86 100
March-2018 86 100
April-2018 86 100
